IdKind;Geslacht;Postcode;Gemeente;IndStatus;LlGroep;IdKeuze;Voorkeur;School;Roepnaam;SchoolNummer;Vestigingsnummer;Wijk;Net;Status;Random;Voorrangsgroep;StraatSchool;NrSchool;BusSchool;PcSChool;GemeenteSchool
a2ed3662-c5c7-43e9-9c8b-87e41c820e15;Vrouw;9000;GENT;onbepaald;1ste secundair stroom A;5b6c9fb9-7cd6-4c75-a28f-ceab5df17a7a;4;GO! Middenschool Voskenslaan;GO! Middenschool Voskenslaan;44669;1;Stationsbuurt Zuid;GO!;Afgemeld;3889;REST;Voskenslaan;60;;9000;Gent
6a99e7ab-dc40-4dd0-9d6d-14925d903c12;Vrouw;9000;GENT;onbepaald;1ste secundair stroom B;5024fc8b-8ae7-4fea-8ee8-281b4343f5b1;1;IVV Sint-Vincentius;IVV Sint-Vincentius;37069;1;Sluizeken – Tolhuis – Ham;Vrij katholiek onderwijs;Ingeschreven;8698;REST;Molenaarsstraat;30;;9000;Gent
6a99e7ab-dc40-4dd0-9d6d-14925d903c12;Vrouw;9000;GENT;onbepaald;1ste secundair stroom B;9c1c2ecc-71d9-467e-9f0a-70ddaecd9fef;2;Onze-Lieve-Vrouw-Instituut;OLVI;105395;1;Binnenstad;Vrij katholiek onderwijs;Afgemeld;480;REST;Tweebruggenstraat;55;;9000;Gent
6a99e7ab-dc40-4dd0-9d6d-14925d903c12;Vrouw;9000;GENT;onbepaald;1ste secundair stroom B;85a2e384-f6ea-46db-a26b-0997da2ca89b;3;Tectura Groenkouter;Tectura Groenkouter;127894;1;Sint-Amandsberg;GO!;Afgemeld;1760;REST;Sint-Baafskouterstraat;129;;9040;Sint-Amandsberg
a9903b2a-f2b6-406f-b8ad-6348cef77390;Vrouw;9000;GENT;onbepaald;1ste secundair stroom B;de9d4d14-4708-4ba5-8fc7-922274aade29;1;Het Spectrum Gent;Toren van Babel;116749;3;Rabot – Blaisantvest;Stedelijk onderwijs;Ingeschreven;10648;REST;Bargiekaai;1;;9000;Gent
a9903b2a-f2b6-406f-b8ad-6348cef77390;Vrouw;9000;GENT;onbepaald;1ste secundair stroom B;44b930af-1598-4565-9007-28dba601cdd8;2;IVV Sint-Vincentius;IVV Sint-Vincentius;37069;1;Sluizeken – Tolhuis – Ham;Vrij katholiek onderwijs;Afgemeld;1637;REST;Molenaarsstraat;30;;9000;Gent
a9903b2a-f2b6-406f-b8ad-6348cef77390;Vrouw;9000;GENT;onbepaald;1ste secundair stroom B;1c0cd32d-6b7d-408b-b0a0-7135581c0012;3;GO! Campus Lyceum;GO! Campus Lyceum;43356;1;Stationsbuurt Noord;GO!;Afgemeld;8553;REST;Kortrijksesteenweg;12;;9000;Gent
1683d73a-c76f-4a8a-9678-2291d83c30b6;Vrouw;9000;Ledeberg;onbepaald;1ste secundair stroom A;164233d7-9f1c-4b63-ac3c-60a4abe272cb;1;Sint-Franciscusinstituut Melle;Sint-Franciscusinstituut Melle (SFI Melle);37598;1;Buiten Gent;Vrij katholiek onderwijs;Ingeschreven;6666;REST;Tuinstraat ;105;;9090;Melle
1683d73a-c76f-4a8a-9678-2291d83c30b6;Vrouw;9000;Ledeberg;onbepaald;1ste secundair stroom A;b2b671aa-3e3e-48a4-98b0-2f69f5cc90be;2;GO! Middenschool Voskenslaan;GO! Middenschool Voskenslaan;44669;1;Stationsbuurt Zuid;GO!;Afgemeld;1253;REST;Voskenslaan;60;;9000;Gent
3cc4a506-0103-41fe-842d-d1389af10db9;Vrouw;9000;Gent;onbepaald;1ste secundair stroom A;6a131141-1541-48d0-a765-6e154e2d1402;1;Nieuwen Bosch Humaniora;Nieuwen Bosch Humaniora;37028;1;Binnenstad;Vrij katholiek onderwijs;Ingeschreven;9843;REST;Lange Violettestraat;65;;9000;Gent
3cc4a506-0103-41fe-842d-d1389af10db9;Vrouw;9000;Gent;onbepaald;1ste secundair stroom A;6b1daeab-52d0-43f3-a1a0-95e874ef869b;2;Richtpunt campus Gent Abdisstraat;Richtpunt campus Gent;36699;1;Watersportbaan – Ekkergem;Provinciaal onderwijs;Afgemeld;4478;REST;Abdisstraat (administratieve zetel 1ste graad);56;;9000;Gent
3cc4a506-0103-41fe-842d-d1389af10db9;Vrouw;9000;Gent;onbepaald;1ste secundair stroom A;bfa02b37-9dbd-4653-bcb5-2ce1b92c7866;3;Visitatie;Visitatie;37581;1;Mariakerke;Vrij katholiek onderwijs;Afgemeld;10572;REST;Zandloperstraat;8;;9030;Mariakerke
49389f15-c129-4187-9acb-6e7e2af597b1;Vrouw;9000;Gent;onbepaald;1ste secundair stroom A;a3c1303c-9648-495d-adfb-a30900b10ef1;1;Atheneum Wispelberg;Wispelberg;112102;1;Elisabethbegijnhof – Papegaai;Stedelijk onderwijs;Plaats Vrijgegeven;6979;REST;Wispelbergstraat;2;;9000;Gent
49389f15-c129-4187-9acb-6e7e2af597b1;Vrouw;9000;Gent;onbepaald;1ste secundair stroom A;53cd4695-a9a5-4a0f-8245-36f0944541ee;2;GO! Middenschool Voskenslaan;GO! Middenschool Voskenslaan;44669;1;Stationsbuurt Zuid;GO!;Ingeschreven;8930;REST;Voskenslaan;60;;9000;Gent
49389f15-c129-4187-9acb-6e7e2af597b1;Vrouw;9000;Gent;onbepaald;1ste secundair stroom A;9734fd45-8f1f-4348-bcc5-27436cf8280a;3;GO! Atheneum Mariakerke;Atheneum Mariakerke;43554;1;Mariakerke;GO!;Afgemeld;4594;REST;Amand Casier de ter Bekenlaan;26;;9030;Mariakerke
e60dc700-b2a3-4435-beca-444aaf7b5471;Vrouw;9040;Sint-Amandsberg;onbepaald;1ste secundair stroom A;8bbe3efe-76f9-45c2-ba2f-19d4ec2bdd4c;1;Nieuwen Bosch Humaniora;Nieuwen Bosch Humaniora;37028;1;Binnenstad;Vrij katholiek onderwijs;Ingeschreven;1932;REST;Lange Violettestraat;65;;9000;Gent
e60dc700-b2a3-4435-beca-444aaf7b5471;Vrouw;9040;Sint-Amandsberg;onbepaald;1ste secundair stroom A;0420ee89-5d33-46d8-acd3-9488be37320a;2;GO! Atheneum Gentbrugge;Atheneum Gentbrugge;115394;1;Gentbrugge;GO!;Afgemeld;6587;REST;Ooievaarsnest;3;;9050;Gentbrugge
624af935-27ec-4f89-b52a-d0efc1708ee7;Vrouw;9820;Merelbeke;onbepaald;1ste secundair stroom A;248e110a-d82c-42b3-a591-80c21439e26e;1;Don Boscocollege eerste graad;Don Boscocollege eerste graad;112144;1;Zwijnaarde;Vrij katholiek onderwijs;Ingeschreven;7354;BZ;Grotesteenweg-Noord;113;;9052;Zwijnaarde
7a0d0448-abdb-497f-a6ba-8abd4c83890f;Vrouw;9000;GENT;onbepaald;1ste secundair stroom A;ec5fba2c-8336-4ee7-8f65-fd2a61fb0446;1;Sint-Bavohumaniora Middenschool;Sint-Bavohumaniora;112169;1;Binnenstad;Vrij katholiek onderwijs;Ingeschreven;277;REST;Reep;4;;9000;Gent
7a0d0448-abdb-497f-a6ba-8abd4c83890f;Vrouw;9000;GENT;onbepaald;1ste secundair stroom A;b490fc08-c012-4f95-b002-874943cbec38;2;Sint-Barbaracollege;Sint-Barbaracollege;126649;1;Binnenstad;Vrij katholiek onderwijs;Afgemeld;7729;REST;Savaanstraat;33;;9000;Gent
252f3c48-9c7a-49c9-963c-48b305920325;Vrouw;9000;GENT;onbepaald;1ste secundair stroom A;ee8c909a-aada-4dc7-8f44-114d55bddc88;1;Atheneum Wispelberg;Wispelberg;112102;1;Elisabethbegijnhof – Papegaai;Stedelijk onderwijs;Plaats Vrijgegeven;10666;REST;Wispelbergstraat;2;;9000;Gent
252f3c48-9c7a-49c9-963c-48b305920325;Vrouw;9000;GENT;onbepaald;1ste secundair stroom A;57c13e45-850d-4028-8869-0e7b7d69940a;2;Freinetmiddenschool Gent;Freinetmiddenschool Gent;116749;4;Watersportbaan – Ekkergem;Stedelijk onderwijs;Ingeschreven;9964;REST;Offerlaan;1;;9000;Gent
252f3c48-9c7a-49c9-963c-48b305920325;Vrouw;9000;GENT;onbepaald;1ste secundair stroom A;2ebdf484-b3cc-4ba3-a9b3-a6269d08cbfa;3;Het Spectrum Gent;Toren van Babel;116749;3;Rabot – Blaisantvest;Stedelijk onderwijs;Afgemeld;2429;REST;Bargiekaai;1;;9000;Gent
7867d691-8c56-4f79-abe6-e86ecdf26a50;Man;9921;Vinderhoute;onbepaald;1ste secundair stroom A;d6b24c1c-0588-4e41-a6b1-5f804baea58e;1;Don Boscocollege eerste graad;Don Boscocollege eerste graad;112144;1;Zwijnaarde;Vrij katholiek onderwijs;Ingeschreven;5651;BZ;Grotesteenweg-Noord;113;;9052;Zwijnaarde
7867d691-8c56-4f79-abe6-e86ecdf26a50;Man;9921;Vinderhoute;onbepaald;1ste secundair stroom A;db204718-479a-446e-9453-1948fec32a08;2;Sint-Barbaracollege;Sint-Barbaracollege;126649;1;Binnenstad;Vrij katholiek onderwijs;Afgemeld Dubbele Toekenning;3319;REST;Savaanstraat;33;;9000;Gent
7867d691-8c56-4f79-abe6-e86ecdf26a50;Man;9921;Vinderhoute;onbepaald;1ste secundair stroom A;2efbfa8e-135d-4620-acce-60e25a82d22d;3;Don Bosco Gent - campus Sint-Pieters;Sint-Pieters;128025;1;Stationsbuurt Noord;Vrij katholiek onderwijs;Afgemeld Dubbele Toekenning;3591;REST;Koning Albertlaan;70;;9000;Gent
d0fbe128-6377-4c1e-93fa-c50a21be325a;Vrouw;9030;Mariakerke;onbepaald;1ste secundair stroom A;0919c3e8-7cae-4741-9cc3-a07575310d98;1;Sint-Bavohumaniora Middenschool;Sint-Bavohumaniora;112169;1;Binnenstad;Vrij katholiek onderwijs;Ingeschreven;7122;REST;Reep;4;;9000;Gent
d0fbe128-6377-4c1e-93fa-c50a21be325a;Vrouw;9030;Mariakerke;onbepaald;1ste secundair stroom A;5894dfab-b32e-4cbc-805b-b03d5fba7ee5;2;IVV Sint-Vincentius;IVV Sint-Vincentius;37069;1;Sluizeken – Tolhuis – Ham;Vrij katholiek onderwijs;Afgemeld;6277;REST;Molenaarsstraat;30;;9000;Gent
d0fbe128-6377-4c1e-93fa-c50a21be325a;Vrouw;9030;Mariakerke;onbepaald;1ste secundair stroom A;30410106-3d1f-4fcd-aaab-d5df8b169765;3;GO! Atheneum Mariakerke;Atheneum Mariakerke;43554;1;Mariakerke;GO!;Afgemeld;5293;REST;Amand Casier de ter Bekenlaan;26;;9030;Mariakerke
