n_stud,n_schools,alpha,beta,seed,time_limit,#_sol_methods,avg_rank_DA,avg_rank_EE,avg_rank_EADA,sol_1_label,sol_2_label,sol_3_label,1_avg_rank_result,1_avg_rank_heur,1_bool_CG,1_time,1_time_lim_exceeded,1_optimal,1_n_iter,1_n_match,2_avg_rank_result,2_avg_rank_heur,2_bool_CG,2_time,2_time_lim_exceeded,2_optimal,2_n_iter,2_n_match,3_avg_rank_result,3_avg_rank_heur,3_bool_CG,3_time,3_time_lim_exceeded,3_optimal,3_n_iter,3_n_match,1_n_stud_impr_DA,1_avg_rank_impr_DA,1_median_rank_impr_DA,1_n_stud_impr_EE,1_avg_rank_impr_EE,1_median_rank_impr_EE,1_n_stud_impr_EADA,1_avg_rank_impr_EADA,1_median_rank_impr_EADA,2_n_stud_impr_DA,2_avg_rank_impr_DA,2_median_rank_impr_DA,2_n_stud_impr_EE,2_avg_rank_impr_EE,2_median_rank_impr_EE,2_n_stud_impr_EADA,2_avg_rank_impr_EADA,2_median_rank_impr_EADA,3_n_stud_impr_DA,3_avg_rank_impr_DA,3_median_rank_impr_DA,3_n_stud_impr_EE,3_avg_rank_impr_EE,3_median_rank_impr_EE,3_n_stud_impr_EADA,3_avg_rank_impr_EADA,3_median_rank_impr_EADA,n_stud_impr_EE_DA,avg_rank_impr_EE_DA,median_rank_impr_EE_DA,n_stud_impr_EADA_DA,avg_rank_impr_EADA_DA,median_rank_impr_EADA_DA,n_stud_impr_EADA_EE,avg_rank_impr_EADA_EE,median_rank_impr_EADA_EE,n_stud_impr_EE_EADA,avg_rank_impr_EE_EADA,median_rank_impr_EE_EADA
40,8,0.2,0.2,955892128,600,3,1.4618999999999998,1.3867000000000005,1.3807999999999998,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.3235999999999999,1.3235999999999999,False,0.2289765999885276,False,False,1,997,1.335975000000001,1.335975000000001,False,0.25431079999543726,False,False,1,997,1.3466999999999996,1.3466999999999996,False,0.22150109999347478,False,False,1,997,37,0.1495135135135137,0.10000000000000042,15,0.08356066034422291,0.039000000000001145,15,0.08756066034422214,0.025000000000000244,37,0.13613513513513392,0.1000000000000002,36,0.05636111111111089,0.03250000000000208,21,0.06679360739720104,0.025000000000000022,37,0.1245405405405405,0.09299999999999997,27,0.05016627623338649,0.03500000000000103,32,0.04262499999999999,0.0229999999999998,33,0.09115151515151408,0.06499999999999906,33,0.09830303030303032,0.06600000000000006,15,0.0259333333333344,0.023000000000000798,10,0.01829999999999905,0.010999999999999122
40,8,0.2,0.2,451585301,600,3,1.9072500000000006,1.6913000000000011,1.6685000000000003,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.5968999999999995,1.5968999999999995,False,0.22035989997675642,False,False,1,999,1.6441500000000018,1.6441500000000018,False,0.2532064999686554,False,False,1,999,,,False,0.255634100001771,False,False,1,999,36,0.344833333333333,0.2672149643705466,21,0.18466550729555567,0.060039786223279545,17,0.18662896464999262,0.06737767220902646,39,0.2698461538461517,0.19900000000000762,32,0.05893749999999861,0.023500000000007404,15,0.10079999999999312,0.018000000000000238,0,0,0,0,0,0,0,0,0,36,0.2399444444444432,0.16949999999999832,36,0.26527777777777783,0.2144999999999998,22,0.05690909090909205,0.037500000000000866,3,0.13666666666666547,0.07099999999999929
40,8,0.2,0.2,43469773,600,3,1.6960999999999995,1.6068750000000012,1.5993999999999997,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.4891255453443748,1.4891255453443748,False,0.22531250002793968,False,False,1,1000,1.5090500000000007,1.5090500000000007,False,0.23059450002619997,False,False,1,1000,1.5106999999999995,1.5106999999999995,False,0.30577220005216077,False,False,1,1000,32,0.25871806831953154,0.16400000000000015,11,0.2829960338590929,0.1710000000000007,8,0.3383496010906886,0.24042021813775072,36,0.20783333333333204,0.14473044007203484,31,0.12622580645161258,0.10300000000000198,17,0.1209692574193659,0.053000000000000824,35,0.21188571428571418,0.1865559851242491,25,0.13609002594678662,0.10215324109968771,31,0.11445161290322567,0.07300000000000006,33,0.10815151515151394,0.0709999999999984,33,0.11721212121212118,0.08200000000000074,16,0.016937500000001188,0.012500000000001621,9,0.01555555555555441,0.009999999999998899
40,8,0.2,0.2,278009742,600,3,1.5751000000000002,1.517575000000002,1.4730250000000003,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.4391624999999995,1.4391624999999995,False,0.2353171000140719,False,False,1,964,1.4551250000000022,1.4551250000000022,False,0.24640579998958856,False,False,1,964,,,False,0.2157985000521876,False,False,1,964,35,0.1553571428571428,0.030000000000000027,21,0.12380952380952479,0.019000000000000683,20,0.12060000000000004,0.025000000000000078,36,0.13330555555555249,0.05050000000000354,33,0.0756969696969673,0.02500000000000191,21,0.08171428571428055,0.02400000000000202,0,0,0,0,0,0,0,0,0,27,0.08522222222222106,0.032999999999998586,29,0.14079310344827586,0.08900000000000019,20,0.08800000000000124,0.042500000000001426,3,0.002666666666665707,0.0009999999999992237
40,8,0.2,0.2,548977048,600,3,1.777625000000001,1.565000000000002,1.4688000000000005,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.4582999999999997,1.4582999999999997,False,0.24237609998090193,False,False,1,983,1.4694500000000044,1.4694500000000044,False,0.22415740002179518,False,False,1,983,,,False,0.2786951999878511,False,False,1,983,28,0.45617857142857104,0.45299999999999885,24,0.18333333333333413,0.18149999999999966,14,0.1722857142857137,0.12550000000000106,30,0.41089999999999327,0.3349166666666741,26,0.14699999999999325,0.10129166666665623,11,0.17928030303028822,0.10408333333331443,0,0,0,0,0,0,0,0,0,30,0.2834999999999987,0.20699999999999863,30,0.41176666666666667,0.39250000000000007,24,0.17116666666666783,0.14500000000000102,2,0.17049999999999899,0.17049999999999899
40,8,0.2,0.2,521760889,600,3,1.624400000000001,1.486225000000001,1.4835250000000006,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.3744249999999996,1.3744249999999996,False,0.3987296999548562,False,False,1,1000,1.4103250000000012,1.4103250000000012,False,0.24833969998871908,False,False,1,1000,1.420574999999999,1.420574999999999,False,0.23272029997315258,False,False,1,1000,37,0.2702432432432432,0.23899999999999966,14,0.24298550511811715,0.16926044111566152,15,0.24205313811024182,0.09052088223132104,38,0.22534210526315612,0.1826332162321208,34,0.08929411764705787,0.05100000000000249,15,0.11245916748499227,0.05300000000000016,38,0.21455263157894827,0.17770354707174896,25,0.09745246703864002,0.07100000000000128,33,0.07630303030303126,0.048000000000000265,38,0.14544736842105155,0.14599999999999858,37,0.15229729729729735,0.14300000000000002,16,0.02456250000000118,0.0245000000000013,8,0.030999999999999056,0.019499999999998963
40,8,0.2,0.2,434794718,600,3,1.9167249999999991,1.7873750000000004,1.7873000000000006,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.6749999999999992,1.6749999999999992,False,0.23229600000195205,False,False,1,1000,1.7198750000000005,1.7198750000000005,False,0.24197440000716597,False,False,1,1000,1.728125,1.728125,False,0.23878670000704005,False,False,1,1000,32,0.3021562500000001,0.20150000000000012,10,0.3729013373621063,0.16735263318587623,8,0.4689313632852803,0.2662254531411211,35,0.22497142857142685,0.2050000000000014,29,0.09310344827586138,0.07681635198102121,13,0.1298602806168391,0.09799999999999964,35,0.21554285714285712,0.20500000000000052,18,0.06920260136308572,0.06350000000000122,28,0.08453571428571426,0.07300000000000106,33,0.15678787878787737,0.13499999999999845,34,0.15226470588235289,0.12449999999999983,16,0.02743750000000121,0.021500000000001074,5,0.0801999999999988,0.035999999999998256
40,8,0.30000000000000004,0.2,906691059,600,3,1.6583000000000006,1.516700000000001,1.4987250000000005,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.3954999999999997,1.3954999999999997,False,0.2663425999926403,False,False,1,997,1.4611500000000006,1.4611500000000006,False,0.35180589999072254,False,False,1,997,1.4581499999999994,1.4581499999999994,False,0.27560640004230663,False,False,1,997,30,0.35040000000000016,0.19049999999999945,10,0.38114905660377485,0.24400000000000077,11,0.2923173241852489,0.238,32,0.2464374999999981,0.1891423723669453,29,0.07662068965517141,0.03581999139553882,17,0.062448898476224174,0.02999999999997316,32,0.25018749999999973,0.1655367639119245,18,0.11755138534960771,0.08963926656564225,30,0.054099999999999766,0.027861144265274085,30,0.18879999999999877,0.14949999999999875,30,0.21276666666666666,0.16049999999999986,10,0.07150000000000123,0.0415000000000012,8,0.011624999999998997,0.008999999999998898
40,8,0.30000000000000004,0.2,413653999,600,3,2.432525,2.2123250000000025,2.1552499999999997,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,2.030127875485558,2.030127875485558,False,0.26974370004609227,False,False,1,1000,2.0913868121315904,2.0913868121315904,False,0.36495959997409955,False,False,1,1000,,,False,0.2682765999925323,False,False,1,1000,36,0.4471079161271564,0.2708512249332429,12,0.3885631238654806,0.29026028766158074,10,0.36256107082162387,0.2820201908652079,37,0.3687980409388208,0.23200000000000198,31,0.1560492746689166,0.0490000000000026,12,0.17744103870932862,0.13050000000000017,0,0,0,0,0,0,0,0,0,34,0.25905882352941006,0.1344999999999985,34,0.32620588235294123,0.2360000000000001,19,0.1341578947368439,0.09500000000000108,4,0.11199999999999877,0.08599999999999886
40,8,0.30000000000000004,0.2,813847339,600,3,1.274925,1.220050000000001,1.2177,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.1461499999999998,1.1461499999999998,False,0.16472960001556203,False,False,1,745,1.1626500000000013,1.1626500000000013,False,0.18773929995950311,False,False,1,745,1.165675,1.165675,False,0.2062471000244841,False,False,1,745,32,0.16096875000000002,0.13049999999999984,16,0.14256250000000087,0.1285000000000009,15,0.1525333333333334,0.14100000000000013,35,0.12831428571428433,0.10150467289717646,31,0.07406451612903149,0.05300000000000127,23,0.08113774888256726,0.05699999999999661,35,0.12485714285714268,0.10499999999999976,26,0.07888461538461597,0.05550000000000055,30,0.06936666666666644,0.041999999999999815,35,0.06271428571428486,0.056999999999999273,35,0.06540000000000004,0.06000000000000005,15,0.012600000000000892,0.012000000000000899,14,0.007714285714284785,0.00449999999999906
