n_stud,n_schools,alpha,beta,seed,time_limit,#_sol_methods,avg_rank_DA,avg_rank_EE,avg_rank_EADA,sol_1_label,sol_2_label,sol_3_label,1_avg_rank_result,1_avg_rank_heur,1_bool_CG,1_time,1_time_lim_exceeded,1_optimal,1_n_iter,1_n_match,2_avg_rank_result,2_avg_rank_heur,2_bool_CG,2_time,2_time_lim_exceeded,2_optimal,2_n_iter,2_n_match,3_avg_rank_result,3_avg_rank_heur,3_bool_CG,3_time,3_time_lim_exceeded,3_optimal,3_n_iter,3_n_match,1_n_stud_impr_DA,1_avg_rank_impr_DA,1_median_rank_impr_DA,1_n_stud_impr_EE,1_avg_rank_impr_EE,1_median_rank_impr_EE,1_n_stud_impr_EADA,1_avg_rank_impr_EADA,1_median_rank_impr_EADA,2_n_stud_impr_DA,2_avg_rank_impr_DA,2_median_rank_impr_DA,2_n_stud_impr_EE,2_avg_rank_impr_EE,2_median_rank_impr_EE,2_n_stud_impr_EADA,2_avg_rank_impr_EADA,2_median_rank_impr_EADA,3_n_stud_impr_DA,3_avg_rank_impr_DA,3_median_rank_impr_DA,3_n_stud_impr_EE,3_avg_rank_impr_EE,3_median_rank_impr_EE,3_n_stud_impr_EADA,3_avg_rank_impr_EADA,3_median_rank_impr_EADA
100,10,0.2,0.5,906691059,60,3,2.1470200000000013,1.7317500000000003,1.62023,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.6079974723370214,1.607997472337024,True,60,True,False,2,1020,1.6336861253153345,1.6336861253153345,True,60,True,False,1,1000,,,True,1.4690000000409782,False,False,1,1000,63,0.8555913137507605,0.7736401813091573,40,0.312027932942277,0.20899999999999952,16,0.328203606185841,0.15773556859085203,63,0.8148156741026448,0.7996352725548812,60,0.16343979114111196,0.0888867545497668,17,0.15390668042482433,0.04493253512248607,0,0,0,0,0,0,0,0,0
100,10,0.2,0.5,413653999,60,3,2.0372399999999993,1.8448500000000023,1.7548900000000003,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.7574026750297025,1.7574026750297025,True,60,True,False,7,1120,1.7716849075578165,1.7716849075578165,True,60,True,False,5,1080,,,True,1.4690000000409782,False,False,1,1000,79,0.3542244619877194,0.2969999999999997,47,0.14737553773571935,0.07743189860182387,27,0.1388791864103793,0.025125709106497807,83,0.3199458945086551,0.28007492448964877,73,0.1002261540303899,0.06406169547327667,26,0.08910968636549278,0.022500000000001685,0,0,0,0,0,0,0,0,0
100,10,0.2,0.5,813847339,60,3,1.6386,1.4793000000000018,1.4769799999999993,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.4006250142273253,1.4006250142273253,True,60,True,False,3,1040,1.4239067503381786,1.4239067503381786,True,60,True,False,4,1060,1.4379702495016828,1.4379702495016828,True,60,True,False,5,1080,76,0.31312498127983635,0.22201960496109296,28,0.23746591790647673,0.11651486289067348,29,0.25445942406791655,0.1756709746382077,81,0.26505339464422484,0.248,58,0.09550560286521151,0.04586748893420556,39,0.1275459747405401,0.07700000000000085,82,0.24467042743697484,0.19648185649574845,46,0.10344533988249449,0.048837272168925416,53,0.07360330282701766,0.04200000000000004
