n_stud,n_schools,alpha,beta,seed,time_limit,#_sol_methods,avg_rank_DA,avg_rank_EE,avg_rank_EADA,sol_1_label,sol_2_label,sol_3_label,1_avg_rank_result,1_avg_rank_heur,1_bool_CG,1_time,1_time_lim_exceeded,1_optimal,1_n_iter,1_n_match,2_avg_rank_result,2_avg_rank_heur,2_bool_CG,2_time,2_time_lim_exceeded,2_optimal,2_n_iter,2_n_match,3_avg_rank_result,3_avg_rank_heur,3_bool_CG,3_time,3_time_lim_exceeded,3_optimal,3_n_iter,3_n_match,1_n_stud_impr_DA,1_avg_rank_impr_DA,1_median_rank_impr_DA,1_n_stud_impr_EE,1_avg_rank_impr_EE,1_median_rank_impr_EE,1_n_stud_impr_EADA,1_avg_rank_impr_EADA,1_median_rank_impr_EADA,2_n_stud_impr_DA,2_avg_rank_impr_DA,2_median_rank_impr_DA,2_n_stud_impr_EE,2_avg_rank_impr_EE,2_median_rank_impr_EE,2_n_stud_impr_EADA,2_avg_rank_impr_EADA,2_median_rank_impr_EADA,3_n_stud_impr_DA,3_avg_rank_impr_DA,3_median_rank_impr_DA,3_n_stud_impr_EE,3_avg_rank_impr_EE,3_median_rank_impr_EE,3_n_stud_impr_EADA,3_avg_rank_impr_EADA,3_median_rank_impr_EADA,n_stud_impr_EE_DA,avg_rank_impr_EE_DA,n_stud_impr_EADA_DA,avg_rank_impr_EADA_DA,n_stud_impr_EADA_EE,avg_rank_impr_EADA_EE,n_stud_impr_EE_EADA,avg_rank_impr_EE_EADA
40,8,0.0,0.2,906691059,600,3,1.2767750000000004,1.2103250000000005,1.2050749999999997,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.142725,1.142725,False,0.1791706999647431,False,False,1,697,1.1530250000000004,1.1530250000000004,False,0.2997330999933183,False,False,1,697,1.154725,1.154725,False,0.27356920001329854,False,False,1,697,32,0.16756249999999998,0.12824999999999998,21,0.10909523809523894,0.053000000000000824,20,0.10305,0.06050000000000011,34,0.14558823529411716,0.10350000000000459,30,0.07640000000000023,0.04350000000000198,23,0.07565217391304228,0.04400000000000004,34,0.14358823529411757,0.10937499999999967,29,0.06813362068965595,0.041000000000000814,31,0.06496774193548385,0.04400000000000004,,,,,,,,
40,8,0.0,0.2,413653999,600,3,1.346675,1.2904000000000004,1.2915499999999995,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.2029250000000002,1.2029250000000002,False,0.2517435000045225,False,False,1,950,1.2137750000000005,1.2137750000000005,False,0.38611959997797385,False,False,1,950,1.2151250000000005,1.2151250000000005,False,0.41221260000020266,False,False,1,950,33,0.17424242424242403,0.1280000000000001,17,0.11622549019607901,0.09400000000000053,14,0.12649999999999983,0.09899999999999975,33,0.16109090909090862,0.14000000000000035,31,0.09887096774193585,0.08200000000000074,20,0.10028999999999418,0.09100000000000075,33,0.1594545454545453,0.1325000000000005,22,0.09901082251082327,0.08200000000000074,29,0.10541379310344823,0.08799999999999986,,,,,,,,
40,8,0.0,0.2,813847339,600,3,1.6415499999999998,1.5522750000000012,1.5563750000000005,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.4549249999999996,1.4549249999999996,False,0.23028359998716041,False,False,1,1000,1.4924750000000018,1.4924750000000018,False,0.41361350001534447,False,False,1,1000,1.5011999999999996,1.5011999999999996,False,0.49421529995743185,False,False,1,1000,35,0.21328571428571388,0.1389999999999998,11,0.21878065483348585,0.06316249967423548,11,0.2283280209895576,0.09516249967423462,36,0.16563888888888628,0.14400000000000146,34,0.07035294117646886,0.023727822499796436,16,0.10146804760866474,0.06249999999999889,37,0.15172972972972984,0.12500000000000044,21,0.07433333333333463,0.03000000000000025,32,0.06896875000000023,0.029992584345130635,,,,,,,,
40,8,0.0,0.2,955892128,600,3,1.4437500000000003,1.404950000000001,1.4010500000000006,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.32255,1.32255,False,0.43071129999589175,False,False,1,1000,1.3289750000000007,1.3289750000000007,False,0.4072328000329435,False,False,1,1000,1.3317749999999997,1.3317749999999997,False,0.4119092999608256,False,False,1,1000,36,0.1346666666666668,0.0980000000000002,18,0.1053098497047783,0.09000000000000097,17,0.101210429099176,0.06700000000000039,36,0.12752777777777688,0.10749999999999982,35,0.08682857142857149,0.08200000000000118,23,0.0814347826086941,0.06699999999999995,36,0.12441666666666659,0.1070000000000002,29,0.08131034482758705,0.06800000000000161,35,0.07917142857142846,0.06699999999999995,,,,,,,,
40,8,0.0,0.2,451585301,600,3,1.6015500000000003,1.4626750000000013,1.4581500000000003,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.3551249999999997,1.3551249999999997,False,0.4231774000218138,False,False,1,999,1.3776000000000004,1.3776000000000004,False,0.4659064000006765,False,False,1,999,1.3879999999999988,1.3879999999999988,False,0.4413949000299908,False,False,1,999,35,0.28162857142857145,0.12000000000000055,17,0.2322030468141896,0.09183238815374994,15,0.2605079605124971,0.20103213610585557,37,0.24210810810810707,0.12800000000000122,33,0.10312121212121192,0.04900000000000171,21,0.12490351804455309,0.05500000000000038,37,0.2308648648648651,0.129,27,0.10162962962963086,0.05600000000000094,33,0.0850303030303033,0.040999999999999925,,,,,,,,
40,8,0.0,0.2,43469773,600,3,1.601900000000001,1.5615000000000008,1.5596499999999998,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.4676249999999993,1.4676249999999993,False,0.45676580001600087,False,False,1,1000,1.4806250000000007,1.4806250000000007,False,0.5428691999986768,False,False,1,1000,1.4805749999999995,1.4805749999999995,False,0.46671489998698235,False,False,1,1000,30,0.17903333333333335,0.15200000000000047,6,0.21013804379719958,0.10092136271678553,5,0.2295916204654608,0.112939562645745,34,0.14267647058823382,0.11412826381395158,30,0.10783333333333288,0.09049999999999814,16,0.10561206374764703,0.09011337179870993,34,0.142735294117647,0.11999999999999911,19,0.12029509921185778,0.10350090382694321,29,0.1090689655172413,0.09300000000000064,,,,,,,,
40,8,0.0,0.2,278009742,600,3,1.6437750000000004,1.5411750000000006,1.5259000000000005,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.465825,1.465825,False,0.47659689997090027,False,False,1,1000,1.494000000000005,1.494000000000005,False,0.5379819999798201,False,False,1,1000,,,False,0.44218469999032095,False,False,1,1000,32,0.2224374999999998,0.12700000000000056,14,0.1841648897623616,0.11091460974436895,13,0.18923727017558048,0.025605275098234292,33,0.18154545454544768,0.12000000000000277,27,0.06988888888888137,0.041999999999909,14,0.09573652855516113,0.028986648131878567,0,0,0,0,0,0,0,0,0,,,,,,,,
40,8,0.0,0.2,548977048,600,3,1.3481249999999998,1.272125000000001,1.2693750000000006,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.2184249999999999,1.2184249999999999,False,0.371210900018923,False,False,1,930,1.2436000000000011,1.2436000000000011,False,0.37697370001114905,False,False,1,930,1.2457999999999998,1.2457999999999998,False,0.470201599993743,False,False,1,930,29,0.17889655172413796,0.10800000000000054,17,0.14919607843137359,0.034000000000000696,15,0.1667555555555557,0.15650000000000008,34,0.12297058823529261,0.0785000000000009,27,0.04225925925925816,0.015000000000002567,21,0.05103571428571086,0.03100000000000014,34,0.12038235294117638,0.09599999999999953,24,0.04458371836496928,0.013000000000000678,25,0.037719999999999976,0.014999999999999458,,,,,,,,
40,8,0.0,0.2,521760889,600,3,1.3292499999999998,1.2775000000000005,1.2760500000000004,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.1974250000000002,1.1974250000000002,False,0.5935803999891505,False,False,1,994,1.2147500000000009,1.2147500000000009,False,0.5889839999726973,False,False,1,994,1.21535,1.21535,False,0.46882469998672605,False,False,1,994,36,0.14647222222222217,0.07549999999999996,11,0.2170909090909098,0.20000000000000084,11,0.21627272727272714,0.21799999999999975,39,0.11743589743589593,0.08400000000000052,36,0.06972222222222142,0.05800000000000105,19,0.07814545083639303,0.05799999999999983,39,0.11682051282051294,0.08499999999999996,28,0.07267857142857244,0.05500000000000116,36,0.06744444444444458,0.056000000000000494,,,,,,,,
40,8,0.0,0.2,434794718,600,3,1.4618499999999996,1.3940500000000005,1.39485,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,1.3192749999999998,1.3192749999999998,False,0.40210189996287227,False,False,1,1000,1.3383500000000008,1.3383500000000008,False,0.5141246999846771,False,False,1,1000,1.3399499999999998,1.3399499999999998,False,0.570603400003165,False,False,1,1000,34,0.16773529411764718,0.14050000000000018,15,0.11594224278249037,0.08711153945001349,14,0.1312238315526673,0.09700000000000009,36,0.13722222222222077,0.1384999999999948,31,0.07187096774193459,0.06496931344746715,21,0.08323315294678288,0.09200000000000041,36,0.1354444444444444,0.13799999999999968,23,0.06282090782485138,0.03900000000000059,31,0.07083870967741926,0.06999999999999984,,,,,,,,
