n_stud,n_schools,alpha,beta,seed,time_limit,#_sol_methods,avg_rank_DA,avg_rank_EE,avg_rank_EADA,sol_1_label,sol_2_label,1_avg_rank_result,1_avg_rank_heur,1_bool_CG,1_time,1_time_lim_exceeded,1_optimal,1_n_iter,1_n_match,2_avg_rank_result,2_avg_rank_heur,2_bool_CG,2_time,2_time_lim_exceeded,2_optimal,2_n_iter,2_n_match,1_n_stud_impr_DA,1_avg_rank_impr_DA,1_median_rank_impr_DA,1_n_stud_impr_EE,1_avg_rank_impr_EE,1_median_rank_impr_EE,1_n_stud_impr_EADA,1_avg_rank_impr_EADA,1_median_rank_impr_EADA,2_n_stud_impr_DA,2_avg_rank_impr_DA,2_median_rank_impr_DA,2_n_stud_impr_EE,2_avg_rank_impr_EE,2_median_rank_impr_EE,2_n_stud_impr_EADA,2_avg_rank_impr_EADA,2_median_rank_impr_EADA
20,4,0.0,0.5,906691059,30,2,1.2640000000000005,1.2274500000000006,1.2293500000000004,SD_UPON_DA,SD_UPON_EADA,1.1896000000000004,1.1896000000000004,False,0.045999999972991645,False,False,1,326,1.2007500000000007,1.2007500000000007,False,0.0470000000204891,False,False,1,326,15,0.09920000000000001,0.04400000000000004,6,0.12550000000000097,0.09150000000000102,7,0.1120000000000001,0.0880000000000003,15,0.07400000000000002,0.06099999999999994,8,0.06475000000000097,0.04550000000000076,10,0.05720000000000016,0.03200000000000003
20,4,0.0,0.5,413653999,30,2,1.3225500000000001,1.2636500000000006,1.2583499999999999,SD_UPON_DA,SD_UPON_EADA,1.2463000000000002,1.2463000000000002,False,0.030999999959021807,False,False,1,77,1.2541500000000003,1.2541500000000003,False,0.015000000013969839,False,False,1,77,11,0.13863636363636359,0.08699999999999997,4,0.107875000000001,0.09450000000000092,5,0.05830000000000002,0.04200000000000004,9,0.14966666666666667,0.08699999999999997,5,0.053000000000001046,0.055000000000000826,3,0.027999999999999952,0.03924999999999956
20,4,0.5,0.5,906691059,30,2,1.9448000000000003,1.8602500000000013,1.8562,SD_UPON_DA,SD_UPON_EADA,1.8385,1.8385,False,0.125,False,False,1,958,1.8562000000000003,1.8562000000000003,False,0.125,False,False,1,958,11,0.19327272727272746,0.12200000000000077,4,0.26519558823529565,0.24440588235294247,4,0.21974411764705887,0.24940588235294137,10,0.15219999999999984,0.11350000000000016,6,0.08133333333333466,0.08650000000000124,0,0,0
20,4,0.5,0.5,413653999,30,2,1.8291999999999995,1.8292000000000013,1.7361999999999997,SD_UPON_DA,SD_UPON_EADA,1.8292000000000002,1.8292000000000002,False,0.01600000006146729,False,False,1,139,1.8292000000000022,1.8292000000000022,False,0.01600000006146729,False,False,1,139,0,0,0,0,0,0,5,0.027600000000000024,0.028999999999999915,0,0,0,0,0,0,5,0.02759999999999896,0.028999999999998805
20,4,1.0,0.5,906691059,30,2,2.3023999999999996,2.294500000000001,2.276549999999999,SD_UPON_DA,SD_UPON_EADA,2.272700000000001,2.272700000000001,False,0.06300000008195639,False,False,1,362,2.2727500000000003,2.2727500000000003,False,0.046999999904073775,False,False,1,362,7,0.08485714285714252,0.01100000000000012,7,0.06228571428571631,0.011000000000002341,4,0.0292499999999995,0.018499999999999628,7,0.053714285714285284,0.028999999999999915,7,0.048428571428572854,0.029000000000001247,6,0.01266666666666616,0.008499999999999286
20,4,1.0,0.5,413653999,30,2,2.2846499999999996,2.2846500000000014,2.2826500000000007,SD_UPON_DA,SD_UPON_EADA,2.28465,2.28465,False,0.0779999999795109,False,False,1,724,2.28265,2.28265,False,0.062000000034458935,False,False,1,724,0,0,0,0,0,0,9,0.026666666666666616,0.027999999999999137,7,0.04128571428571415,0.011999999999999789,7,0.04128571428571589,0.012000000000000899,0,0,0
40,8,0.0,0.5,906691059,30,2,1.3391999999999995,1.2468000000000017,1.24765,SD_UPON_DA,SD_UPON_EADA,1.18485,1.18485,False,0.31200000003445894,False,False,1,629,1.2063499999999994,1.2063499999999994,False,0.2809999999590218,False,False,1,629,31,0.1991612903225806,0.09299999999999997,18,0.14016666666666744,0.03600000000000092,22,0.12086363636363631,0.03500000000000025,26,0.19649999999999992,0.132,20,0.07700000000000075,0.03250000000000075,26,0.06353846153846156,0.01930232558139522
40,8,0.0,0.5,413653999,30,2,1.4288750000000001,1.3501250000000007,1.3519999999999999,SD_UPON_DA,SD_UPON_EADA,1.270575,1.270575,False,0.5470000000204891,False,False,1,964,1.2893,1.2893,False,0.4690000000409782,False,False,1,964,27,0.23451851851851846,0.16899999999999982,15,0.1572000000000009,0.1250000000000009,19,0.15942982456140342,0.1279999999999999,26,0.2000694899748416,0.1499999999999998,21,0.10074290905658674,0.08800000000000141,26,0.0964615384615383,0.06706590683845404
40,8,0.5,0.5,906691059,30,2,2.6467749999999994,2.5249500000000022,2.4358000000000004,SD_UPON_DA,SD_UPON_EADA,2.4194292121566203,2.4194292121566203,False,0.48499999998603016,False,False,1,1000,2.52495,2.52495,False,0.40600000007543713,False,False,1,1000,28,0.3247796969191135,0.19300000000000006,14,0.18406986891586477,0.08150000000000157,7,0.2909984403444351,0.2060000000000013,26,0.1874230769230748,0.08799999999999697,0,0,0,3,0.14999999999999872,0.15299999999999914
40,8,0.5,0.5,413653999,30,2,2.9994250000000013,2.8812250000000055,2.605875,SD_UPON_DA,SD_UPON_EADA,2.682020022276238,2.682020022276238,False,0.375,False,False,1,1000,2.8812249999999917,2.8812249999999917,False,0.4529999999795109,False,False,1,1000,33,0.38473330633183095,0.33690213628353627,15,0.30740333189300606,0.2383238300910815,7,0.21682504279453343,0.0829999999999993,32,0.14774999999999766,0.12749999999999773,0,0,0,4,0.057999999999998775,0.03749999999999909
