n_stud,n_schools,alpha,beta,seed,time_limit,#_sol_methods,avg_rank_DA,avg_rank_EE,avg_rank_EE_bug,diff_assignment,n_assigned_DA,n_assigned_EE,n_stud_impr_EE_DA,avg_rank_impr_EE_DA,median_rank_impr_EE_DA,n_stud_impr_EE_bug_DA,avg_rank_impr_EE_bug_DA,median_rank_impr_EE_bug_DA
1000,20,0.0,0.0,906691059,10,1,1.203,1.154,1.153,False,,,14,3.5,2.5,16,3.125,2.5
1000,20,0.0,0.0,413653999,10,1,1.149,1.128,1.131,False,,,8,2.625,2.5,8,2.25,1.5
1000,20,0.2,0.0,906691059,10,1,1.866,1.699,1.721,False,,,53,3.150943396226415,2.0,58,2.5,2.0
1000,20,0.2,0.0,413653999,10,1,1.929,1.67,1.725,False,,,83,3.1204819277108435,2.0,84,2.4285714285714284,1.0
1000,20,0.4,0.0,906691059,10,1,4.126,3.204,3.351,False,,,246,3.747967479674797,3.0,272,2.849264705882353,2.0
1000,20,0.4,0.0,413653999,10,1,3.55,2.974,3.059,False,,,192,3.0,2.0,204,2.406862745098039,2.0
1000,20,0.6000000000000001,0.0,906691059,10,1,7.798,6.329,6.663,False,,,326,4.506134969325154,4.0,383,2.9634464751958225,2.0
1000,20,0.6000000000000001,0.0,413653999,10,1,6.888,6.106,6.243,False,,,206,3.796116504854369,3.0,222,2.9054054054054053,2.0
1000,20,0.8,0.0,906691059,10,1,9.991,9.415,9.52,False,,,229,2.51528384279476,2.0,235,2.0042553191489363,1.0
1000,20,0.8,0.0,413653999,10,1,9.69,9.265,9.314,False,,,163,2.607361963190184,2.0,170,2.211764705882353,2.0
1000,20,1.0,0.0,906691059,10,1,10.5,10.5,10.5,True,,,0,0,0,0,0,0
1000,20,1.0,0.0,413653999,10,1,10.5,10.5,10.5,True,,,0,0,0,0,0,0
1000,20,0.0,0.2,906691059,10,1,1.18,1.133,1.133,True,,,18,2.611111111111111,2.0,18,2.611111111111111,2.0
1000,20,0.0,0.2,413653999,10,1,1.148,1.132,1.129,False,,,6,2.6666666666666665,2.0,9,2.111111111111111,2.0
