n_stud,n_schools,alpha,beta,seed,time_limit,#_sol_methods,avg_rank_DA,avg_rank_EE,avg_rank_EADA,sol_1_label,sol_2_label,1_avg_rank_result,1_avg_rank_heur,1_bool_CG,1_time,1_time_lim_exceeded,1_optimal,1_n_iter,1_n_match,2_avg_rank_result,2_avg_rank_heur,2_bool_CG,2_time,2_time_lim_exceeded,2_optimal,2_n_iter,2_n_match
20,4,0.5,0.5,906691059,30,3,1.9448000000000003,1.8602500000000013,1.8562,SD_UPON_DA,SD_UPON_EADA,1.8385,1.8385,False,0.10999999998603016,False,False,1,958,1.8562000000000003,1.8562000000000003,False,0.0940000000409782,False,False,,
50,8,0.5,0.5,906691059,30,3,2.145700000000001,2.0138400000000014,1.9763200000000014,SD_UPON_DA,SD_UPON_EADA,1.9000193855485286,1.9000193855485286,False,0.5320000000065193,False,False,1,1000,2.013840000000002,2.013840000000002,False,0.48400000005494803,False,False,,
