n_stud,n_schools,alpha,beta,seed,time_limit,#_sol_methods,avg_rank_DA,avg_rank_EE,avg_rank_EADA,sol_1_label,sol_2_label,sol_3_label,sol_4_label,sol_5_label,sol_6_label,1_avg_rank_result,1_avg_rank_heur,1_bool_CG,1_time,1_time_lim_exceeded,1_optimal,1_n_iter,1_n_match,2_avg_rank_result,2_avg_rank_heur,2_bool_CG,2_time,2_time_lim_exceeded,2_optimal,2_n_iter,2_n_match,3_avg_rank_result,3_avg_rank_heur,3_bool_CG,3_time,3_time_lim_exceeded,3_optimal,3_n_iter,3_n_match,4_avg_rank_result,4_avg_rank_heur,4_bool_CG,4_time,4_time_lim_exceeded,4_optimal,4_n_iter,4_n_match,5_avg_rank_result,5_avg_rank_heur,5_bool_CG,5_time,5_time_lim_exceeded,5_optimal,5_n_iter,5_n_match,6_avg_rank_result,6_avg_rank_heur,6_bool_CG,6_time,6_time_lim_exceeded,6_optimal,6_n_iter,6_n_match,1_n_stud_impr_DA,1_avg_rank_impr_DA,1_median_rank_impr_DA,1_n_stud_impr_EE,1_avg_rank_impr_EE,1_median_rank_impr_EE,1_n_stud_impr_EADA,1_avg_rank_impr_EADA,1_median_rank_impr_EADA,2_n_stud_impr_DA,2_avg_rank_impr_DA,2_median_rank_impr_DA,2_n_stud_impr_EE,2_avg_rank_impr_EE,2_median_rank_impr_EE,2_n_stud_impr_EADA,2_avg_rank_impr_EADA,2_median_rank_impr_EADA,3_n_stud_impr_DA,3_avg_rank_impr_DA,3_median_rank_impr_DA,3_n_stud_impr_EE,3_avg_rank_impr_EE,3_median_rank_impr_EE,3_n_stud_impr_EADA,3_avg_rank_impr_EADA,3_median_rank_impr_EADA,4_n_stud_impr_DA,4_avg_rank_impr_DA,4_median_rank_impr_DA,4_n_stud_impr_EE,4_avg_rank_impr_EE,4_median_rank_impr_EE,4_n_stud_impr_EADA,4_avg_rank_impr_EADA,4_median_rank_impr_EADA,5_n_stud_impr_DA,5_avg_rank_impr_DA,5_median_rank_impr_DA,5_n_stud_impr_EE,5_avg_rank_impr_EE,5_median_rank_impr_EE,5_n_stud_impr_EADA,5_avg_rank_impr_EADA,5_median_rank_impr_EADA,6_n_stud_impr_DA,6_avg_rank_impr_DA,6_median_rank_impr_DA,6_n_stud_impr_EE,6_avg_rank_impr_EE,6_median_rank_impr_EE,6_n_stud_impr_EADA,6_avg_rank_impr_EADA,6_median_rank_impr_EADA,n_stud_impr_EE_DA,avg_rank_impr_EE_DA,median_rank_impr_EE_DA,n_stud_impr_EADA_DA,avg_rank_impr_EADA_DA,median_rank_impr_EADA_DA,n_stud_impr_EADA_EE,avg_rank_impr_EADA_EE,median_rank_impr_EADA_EE,n_stud_impr_EE_EADA,avg_rank_impr_EE_EADA,median_rank_impr_EE_EADA
10,5,0.5,0.2,906691059,600,6,2.3139,1.9700000000000017,1.8427000000000002,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,SD_UPON_DA_SAMPLE,,SD_UPON_EADA_SAMPLE,1.9152,1.9152,False,0.004024000023491681,False,False,1,45,1.9592000000000005,1.9592000000000005,False,0.003959800000302494,False,False,1,45,,,False,0.0032202000147663057,False,False,1,45,1.9152,1.9152,False,0.011675500019919127,False,False,1,94,,,,,,,,,,,False,0.005654800042975694,False,False,1,94,7,0.5695714285714285,0.363,3,0.369666666666668,0.11000000000000121,2,0.4215,0.4215,7,0.5067142857142851,0.4620000000000011,4,0.027000000000001356,0.024500000000002298,1,0.19799999999999995,0.19799999999999995,0,0,0,0,0,0,0,0,0,7,0.5695714285714286,0.43600000000000017,4,0.27825000000000166,0.1550000000000017,3,0.18966666666666665,0.16600000000000037,,,,,,,,,,0,0,0,0,0,0,0,0,0,7,0.49128571428571277,0.4619999999999984,8,0.589,0.5455000000000002,6,0.23583333333333492,0.25700000000000167,1,0.19799999999999907,0.19799999999999907
10,5,0.5,0.2,413653999,600,6,2.4082,2.360400000000002,2.3095,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,SD_UPON_DA_SAMPLE,,SD_UPON_EADA_SAMPLE,2.3394,2.3394,False,0.017040400009136647,False,False,1,195,2.343200000000001,2.343200000000001,False,0.02565980004146695,False,False,1,195,,,False,0.012553000007756054,False,False,1,195,2.3394,2.3394,False,0.01915690000168979,False,False,1,409,,,,,,,,,,,False,0.014449100010097027,False,False,1,409,7,0.09828571428571475,0.04000000000000048,5,0.030800000000002027,0.013000000000002565,2,0.07200000000000006,0.07200000000000006,7,0.09285714285714196,0.0500000000000016,6,0.028666666666667135,0.018500000000001515,2,0.046499999999999764,0.046499999999999764,0,0,0,0,0,0,0,0,0,7,0.0982857142857145,0.04700000000000015,4,0.04250000000000176,0.026000000000001577,1,0.13900000000000023,0.13900000000000023,,,,,,,,,,0,0,0,0,0,0,0,0,0,5,0.09559999999999817,0.06199999999999806,8,0.12337500000000018,0.05750000000000011,4,0.0825000000000019,0.053000000000001934,2,0.015499999999997849,0.015499999999997849
10,5,0.5,0.2,813847339,600,6,2.0601000000000003,2.0601000000000016,2.0099000000000005,SD_UPON_DA,SD_UPON_EE,SD_UPON_EADA,SD_UPON_DA_SAMPLE,,SD_UPON_EADA_SAMPLE,2.0178000000000003,2.0178000000000003,False,0.0024166000075638294,False,False,1,19,2.0178000000000007,2.0178000000000007,False,0.00245349999750033,False,False,1,19,,,False,0.0020702999900095165,False,False,1,19,2.0178000000000003,2.0178000000000003,False,0.0032495000050403178,False,False,1,38,,,,,,,,,,,False,0.0032298999722115695,False,False,1,38,4,0.1057499999999999,0.08749999999999991,4,0.10575000000000112,0.08750000000000124,3,0.07966666666666662,0.08400000000000007,4,0.10574999999999823,0.08750000000000113,4,0.10574999999999946,0.08750000000000246,3,0.07966666666666426,0.08400000000000163,0,0,0,0,0,0,0,0,0,4,0.1057499999999999,0.08749999999999991,4,0.10575000000000112,0.08750000000000124,3,0.07966666666666662,0.08400000000000007,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,0.1673333333333332,0.137,3,0.16733333333333497,0.1370000000000018,0,0,0
